imageName,animalName,source,
AsianGoldenCat_flickr_KarenStout.jpg,Asian Golden Cat,https://www.flickr.com/photos/27428149@N02/4511780622,
AdobeStock_10474516.jpeg,Black Leopard,adobe stock,https://en.wikipedia.org/wiki/Leopard_cat#/media/File:Leopard_cat_India.jpg
Bobcat_30524470_XL.jpg,Bobcat,fotolia licensed,
Canada_Lynx_(6187103428).jpg,Canada Lynx,NPS Photo/Jacob W. Frank,
AdobeStock_62139724.jpeg,Caracal,adobe stock,
AdobeStock_177858806.jpeg,Clouded Leopard,adobe stock,
Fotolia_63547545_Subscription_XL.jpg,Cougar,fotolia licensed,
domesticcat_closeup.jpg,Domestic Cat,cropped version of the emammal,
Fotolia_57150206_Subscription_L.jpg,Jaguar,fotolia licensed,
AdobeStock_178919233.jpeg,Jaguarundi,adobe stock,
Cat_45786605_Subscription_XL.jpg,Leopard,fotolia licensed,
Leopard_cat_India.jpg,Leopard Cat,wikimedia commons,
Ocelot_flickr_JoaoCarlosMedau.jpg,Ocelot,https://www.flickr.com/photos/medau/8496431040/,
Serval_at_Auckland_Zoo_-_Flickr_-_111_Emergency.jpg,Serval,https://www.flickr.com/people/24143601@N08,
Snow_leopard_in_Afghanistan.jpg,Snow Leopard,wikipedia public domain,
Fotolia_65375059_Subscription_XL.jpg,Tiger,fotolia licensed,